Basin,Operator,01/03/2022,01/12/2022,11/22/2021,12/14/2021,12/20/2021,12/27/2021,All
Haynesville,"RFE OPERATING, LLC",,,1.0,1.0,,,2
Haynesville,ROCKCLIFF ENERGY OPERATING LLC,4.0,4.0,4.0,4.0,4.0,4.0,24
Haynesville,"ROSE CITY RESOURCES, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Haynesville,SABINE OIL & GAS CORPORATION,3.0,3.0,3.0,3.0,3.0,3.0,18
Haynesville,"SLANT OPERATING, LLC",1.0,1.0,,1.0,1.0,1.0,5
Haynesville,"SUGAR CREEK PRODUCING COMPANY, LLC",,,1.0,,,,1
Haynesville,"SWN PRODUCTION (LOUISIANA), LLC",,1.0,,,1.0,,2
Haynesville,"TANOS EXPLORATION II, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Haynesville,TELLURIAN OPERATING LLC,1.0,1.0,,,,1.0,3
Haynesville,VALENCE OPERATING COMPANY,1.0,1.0,,,,,2
Haynesville,VINE ENERGY OPERATING LP,1.0,1.0,3.0,2.0,2.0,2.0,11
Haynesville,VINE OIL & GAS LP,1.0,1.0,,1.0,1.0,1.0,5
Haynesville,WEISER-BROWN OPERATING COMPANY,1.0,,,,,1.0,2
Michigan,MUSKEGON OPERATING COMPANY LLC,1.0,1.0,,,1.0,1.0,4
Michigan,NU ENERGY OPERATING INC,,,,1.0,,,1
